title,abstract,description,prerequisites
"📂 Slow Productivity AI: Automating Knowledge & Task Management with Offline Hugging Face, n8n & Obsidian","Modern work demands constant context-switching—emails, notes, meetings, and tasks pile up, leaving us overwhelmed. This talk introduces a<b>slow productivity AI</b>approach, inspired by<b>Cal Newport</b>, that leverages<b>offline, open-source automation</b>using<b>Hugging Face, n8n, and Obsidian</b>. By structuring knowledge into meaningful tasks<b>without disrupting deep work</b>, we can create a<b>sustainable, low-distraction workflow</b>—working smarter, not just faster.","In his book Slow Productivity, Cal Newport argues that modern work culture prioritizes busyness over effectiveness, leading to stress, shallow work, and burnout. But what if AI could enhance deep work rather than create more digital noise?",Basic Python knowledge
Vectors Everywhere: An Introduction to Vector Databases,"You have probably heard of vector databases while learning about embeddings used in deep learning models or while exploring Retrieval Augmented Generation(RAG).
In that case, you might be wondering why not just use SQL databases or NoSQL databases.
In this talk you will learn what embeddings are, and what vector databases are, why they are useful and when to use them. Expect to understand why vector databases are preferred for certain applications over SQL and NoSQL databases.","Vector databases have become more commonplace with the adoption of LLMs in various systems. You may have heard of vector databases in passing and are wondering what they are and why they are all the rage despite SQL databases having stood the test of time. You might remember learning about vectors in school and are wondering what's their relation to LLMs.
In this talk, we will learn about vectors, embeddings and vector databases. You will form an understanding of when vector databases are applicable and work through how to use open source vector databases.
This session is perfect for Python developers, data engineers and ML engineers curious about data storage and retrieval. Join us to learn the basics of vector databases and how they are powering some of the world's AI systems.",Python and SQL databases.
Build Your Own Observability Tool from Scratch for AI Agents,"In this hands-on workshop, we will learn how to develop a custom observability solution tailored for AI agents. From logs and metrics to guardrail checks and cost tracking, we’ll discover how to monitor crucial elements like accuracy, latency, and environmental impact. Walk away with your own tool and best practices to ensure AI agents are both well-observed and well-behaved.","AI agents can exhibit complex behaviors, including inconsistent accuracy, and unexpected spikes in resource usage. Traditional monitoring tools often fail to capture these nuances effectively. In this workshop, we will build an observability tool from scratch using Python, integrating techniques like advanced logging, metrics tracking, guardrail checks, and real-time dashboards. We will also address carbon emissions and cost visibility, highlighting the importance of responsible AI development. By the end, you’ll have a solid understanding of how to create a fully customizable solution that scales and adapts to your AI workflows.","Basics of AI Agents, Python and related tools"
The Emergence of Agentic Workflows in AI,"AI is evolving from passive tools to autonomous agents, driving the rise of agentic workflows that can plan, execute, and optimize tasks with minimal human input. This session will explore how large language models and multi-agent collaboration power these systems, enhancing efficiency and innovation. Attendees will gain insights into real-world applications, challenges, and the future of autonomous AI systems, uncovering how agentic workflows are transforming industries.","As AI systems transition from passive tools to autonomous agents, agentic workflows are emerging as a new paradigm. These AI-driven systems autonomously plan, execute, and optimize tasks with minimal human input, transforming areas like automation and decision-making. This session will focus on how developers can leverage large language models and multi-agent collaboration to build efficient, innovative agentic workflows. Code examples using a popular agentic framework will be demonstrated, providing hands-on insights into real-world applications. Attendees will also explore challenges and future directions for autonomous AI systems, gaining valuable knowledge on how agentic workflows are accelerating AI-driven change.",Familiarity with LLMs
I messed up so you don't: Surprisal and the headache of tokenizer encodings in LLMs!,"What can go wrong with tokenizer encodings? Everything! I will share my experience of understanding, misunderstanding, and ultimately learning to work with tokenization in LLMs. I will discuss what surprisal is, its relevance to my research, and its connection to tokenization. The talk will include various examples illustrating how misunderstandings of tokenization can arise, as well as strategies for debugging and preventing these issues.",,"Basic Python, and interest in NLP/LLMs"
A Crash course in Time Series Forecasting from Naive to Foundational,Forecasting is a common activity that has clear business value in various domains but it is not a very common skill that Data Scientists have or feel confident about. In this crash course I will cover the fundamentals of Time Series forecasting from the basic methods to more advanced techniques. I will do this showcasing practical code examples using libraries from Nixtla.,This is a technical talk that aims to provide the essential elements for a Data Scientist to go from zero knowledge of time series forecasting to being able to code a forecasting system that can evolve from a basic setup that can be put in production.,Basic Python skills. A background in Data Science is beneficial
“Beginner's Guide to building Autonomous AI Agents with Eliza Framework”,"AI agents are becoming fundamental building blocks of modern applications, thanks to their capability of understanding context with the help of the LLMs, but with added capability to interact with systems, files. AI agents that can meaningfully interact across platforms while maintaining context aren't just for large tech companies anymore as we have a number of open source AI Agent frameworks now which developers can leverage. This beginner-friendly, hands-on tutorial shows the process of creating autonomo","We'll break down the complexities of AI agent development into understandable components. Starting with basic concepts and progressing to functional implementations, participants will learn how to create, deploy, and manage AI agents that can handle real-world tasks with the help of the Eliza AI Agent framework. Finally we will have a hands on demo","basics of python, vector search, llm"
"How We Outperformed Microsoft, Google, and OpenAI in Speech-to-Text","We built a cutting-edge speech-to-text model that outperformed solutions from industry leaders like Microsoft, Google, and OpenAI. This is the story of how we identified a market gap, defined what makes ""the best model,"" and turned our vision into a successful business.","In this talk, I’ll share my personal journey of how we started our own business and built an innovative audio (speech-to-text) model that outperformed the offerings of industry giants like Microsoft, Google, and OpenAI. I’ll discuss how we identified a crucial gap in the market, carried out in-depth analysis to define what makes ""the best model,"" and overcame the challenges of competing with established players. This story is about determination, creativity, and the power of a focused vision, showing that even small teams can achieve big results when they find the right opportunities.",curiosity
The Best of Both Worlds: A Hybrid Approach to Lightning-Fast Product Matching,"In an era dominated by data, businesses struggle with processing diverse, unstructured information across systems. This research presents an AI-powered pipeline addressing product matching challenges in retail and e-commerce. Our solution combines traditional matching algorithms with deep learning through a five-step process. This approach minimizes manual intervention while improving accuracy and efficiency.","In today's data-driven world, businesses face the challenge of managing vast amounts of information, often from diverse and unstructured sources. This complexity necessitates efficient and accurate data processing techniques to extract meaningful insights and drive informed decision-making. One such critical task is product matching, where the goal is to accurately identify and link records representing the same product across different systems or datasets. This is particularly crucial for businesses operating in industries with complex product catalogs, such as retail, manufacturing, and e-commerce. Our project solves this problem by developing a robust, AI-powered pipeline to automate the matching process while minimizing human intervention.
The task involved matching incoming product records with a standardized catalog, referred to as the ""G_List,"" which includes essential attributes. The primary challenge lay in the inherent variability and inconsistency of product data. Incoming records often included: spelling and grammatical errors, data inconsistencies, multilingual variations. Examples of the challenge include identifying that ""Yellow Glass whiskey 1L,"" ""Color Whiskey 1L glas,"" and ""GLAS amarillo whiskey"" all correspond to ""GLASS YELLOW WHISKEY 1L"" in the G_List.
Our solution comprises five key steps. First, we created the G_List by standardizing product data and attributes. Next, we consolidated source data into a unified data lake, where records were cleaned and transformed. The third step utilized the tfidf_matcher Python library for initial matching. Step four, feature extraction. Finally, a  deep learning model assessed the matches as either ""PASS"" or ""NOT PASS."" Records flagged as ""PASS"" were automatically labeled and finalized, while ""NOT PASS"" records were escalated for manual review.
This hybrid approach of combining matching algorithms with AI significantly reduced manual workload while improving accuracy.",Basic Computer Science knowledge.
Building Compliant and Robust AI Systems: Navigating the EU AI Act with Python,"This session provides a concise overview of EU AI Act compliance tailored for Python developers building AI systems. We'll explore key compliance areas, including risk management, robust model testing, cybersecurity, and explainability, highlighting practical tools and popular Python libraries.","In this talk, you'll gain essential insights into aligning Python-based AI system development with the EU AI Act’s regulatory requirements. We'll begin with a brief introduction to the EU AI Act’s core concepts, risk tiers, and certification expectations, emphasizing what matters most for practical compliance.",Interest in AI system development
,,,
Putting PyTorch Models into Production,"Deploying PyTorch models into production requires balancing performance, hardware efficiency, and cost optimization. Developers face challenges such as GPU memory constraints during training, suboptimal inference latency, and escalating cloud infrastructure expenses. For instance, modern models like LLMs demand specialized strategies to reduce GPU memory footprint while maintaining throughput.","Deploying PyTorch models into production requires balancing performance, hardware efficiency, and cost optimization. Developers face challenges such as GPU memory constraints during training, suboptimal inference latency, and escalating cloud infrastructure expenses. For instance, modern models like LLMs demand specialized strategies to reduce GPU memory footprint while maintaining throughput. Meanwhile, serving architectures often suffer from poor hardware utilization due to rigid microservice designs, leading to unnecessary costs. This session addresses these pain points by providing a roadmap for transitioning PyTorch models from research to production, emphasizing GPU optimization and cost-aware serving.",PyTorch basics
Knowledge Bases & Memory for Agentic AI,"Some of the latest big evolutionary steps in generative AI has been models that support function calling and “agentic” capabilities.  This is provides generative models with “tools” that allow them to go beyond generating outputs for simple queries, and start planning the best way to solve complex queries.  In this talk, we’ll be diving into using vector databases as the backbone for these types of complex AI architectures, both serving as knowledge bases, and memory.","In this technical talk, we will start by covering the history of how agentic AI came about. We will go over how we can design prompts in a way that instruct LLMs to use tools and plan out how to solve complex queries. Next, we will learn about function calling and how this feature of LLMs can be used as the basis of agents.",Basic understanding of vector databases and vector search would be useful.
"Artificial Intelligence in Open-Source Project Management: Automating Tasks, Predicting Outcomes, and Optimizing Resources","As artificial intelligence continues to evolve, there is a growing need for project maintainers to leverage on AI to foster diverse and inclusive collaborations. In this session, I will discuss importance of artificial intelligence in open-source project management, actionable strategies to maximize diverse talents and promote transparency, tools and technologies available for project maintainers, and practical ways to leverage these technologies to make a meaningful impact within open-source communities.","In this session, there will be interactive sessions and case studies to provide practical insights and how to navigate various forms of challenges and opportunities to aid my objectives which include;",No specific skills
"Anonymization of sensitive information in financial documents using, python, diffusion models and named entity recognition","Unlock sensitive data potential with anonymization! Learn how Python, diffusion models, and Named Entity Recognition (NER) empower institutions to anonymize PII in financial documents, replacing it with synthetic stand-ins. Discover open-source, self-hosted tools to ensure privacy while unleashing data's full power.","Anonymization of sensitive information in financial documents using, python, diffusion models and named entity recognition",Python
Enhancing Model Context Protocol (MCP) with Dynamic Tool Discovery for Smarter AI,"The Model Context Protocol (MCP) is an emerging standard that enables structured data provisioning for LLMs and AI agents. However, the current data discovery mechanism in MCP is static.  This limits the AI’s ability to dynamically assess the utility, relevance, and efficiency of data tool calls in real time.  Here I present an enhancement to MCP ""tool discovery"" that introduces dynamic data descriptions, allowing LLM to be better informed.",This talk will introduce the concept of MCP with a demonstration of how MCP clients and servers. How they are built and how they interact.,"Python, LLM"
Code Generation in Regulated Industries: Opportunities and Challenges,"AI-driven code generation can transform software development in regulated sectors like banking and insurance - but only if implemented securely and responsibly. In this talk, we’ll explore how to harness tools like GitHub Copilot and ChatGPT to boost productivity while ensuring compliance. Attendees will learn key considerations, best practices, and practical insights to keep code generation both efficient and fully auditable.","In highly regulated industries, code quality, security, and compliance are paramount. Yet recent advances in AI-driven coding assistants promise faster development, fewer errors, and improved agility. How do we tap into these benefits without introducing unacceptable risk?",None
EGTL data-processing model prototype using Python,"Discover how EGTL (Extract, Generate, Transfer, Load) extends traditional ETL by adding a “generate” step powered by GenAI. In this talk, I’ll demonstrate how Python pipelines on top of data warehouse can automatically extract data, generate new insights, and deliver optimized transformations. We’ll explore practical workflows, real-world use cases, and best practices—equipping you to apply EGTL in your own data projects.","Experience a novel approach to data ingestion pipelines with EGTL (Extract, Generate, Transfer, Load), a practical evolution of the standard ETL process. By incorporating a “generate” step powered by GenAI into the workflow, EGTL unlocks new potential in data transformation, advanced data analytics, and automation. In this talk, I’ll walk you through the core components of EGTL, demonstrating how Python-based data pipelines can leverage generative AI to produce enriched datasets on the fly before transferring and loading them into downstream systems.
Using real-world use cases, I’ll illustrate how EGTL benefits both data engineers and scientists by reducing manual overhead, accelerating iterative development, and unveiling unexpected insights. You’ll learn implementation best practices—covering everything from tool selection and architecture design to error handling and governance. This talk will highlight key strategies for integrating GenAI directly into your pipelines.","data engineering, automation, big data application develpment"
AI 360: From Theory to Transformation,"This talk charts the evolution of Artificial Intelligence through the dual lenses of data and models, tracing AI’s journey from early symbolic systems to today’s advanced data-driven techniques. Attendees will learn how the interplay of ever-growing datasets and increasingly sophisticated model architectures has powered major breakthroughs, transforming AI from theoretical curiosity to a global catalyst for innovation.","We will begin by examining AI’s early days, when handcrafted rules and symbolic reasoning took center stage despite limited data and computational resources. Next, the spotlight shifts to the rise of machine learning and neural networks, as larger datasets and improved computing power enabled more flexible, adaptive models. Along the way, we will highlight pivotal milestones—such as the resurgence of deep learning—that propelled AI forward at an accelerated pace. By focusing on how evolving data availability and model complexity shaped each phase of AI, this session provides a comprehensive historical perspective and offers insights into how AI’s trajectory continues to unfold in today’s data-rich world.",General curiosity in AI
"GenAI for Clients: No pain, no gain",What is the way from prove of concept to big production solutions for GenAI application? How to make it scalable and make one release by 7 sprints?,"We talk about different GenAI Accenture cases in production and preproduction studies, how to implement new technologies and what advantages and disadvantages we can discover during such projects. How often client really know what they want? GenAI ""magic"" tricks or 99% accuracy? Let's talk about LLM, stable diffusion and similarity search.","AI fundamentals, Programming, Azure fundamentals, AWS fundamentals"
